"full_name","state","total_order","sales","rank_state"
"Yvonne Turner","California","19","18058.570000000003","1"
"Emma Scott","California","11","12114.799999999997","2"
"Quinn Green","California","15","11140.729999999996","3"
"Samuel Reed","California","7","10669.89","4"
"Iris Turner","California","14","10550.749999999998","5"
"Victor Adams","Colorado","4","4749.91","1"
"Brian White","Colorado","6","3930.83","2"
"David Wilson","Colorado","4","2909.9299999999994","3"
"Yvonne Turner","Colorado","2","2799.9700000000003","4"
"Samuel Adams","Colorado","4","2209.9599999999996","5"
"Zachary Murphy","Connecticut","6","5079.87","1"
"Cynthia Bell","Connecticut","3","2279.9700000000003","2"
"Tara Smith","Connecticut","3","764.94","3"
"Emily Clark","Connecticut","3","599.94","4"
"Wanda Martin","Connecticut","3","408.92999999999995","5"
"Xavier Green","Delaware","7","9099.859999999999","1"
"Ursula Davis","Delaware","4","4239.929999999999","2"
"Amelia Hill","Delaware","3","949.97","3"
"Derek Robinson","Delaware","5","934.9200000000001","4"
"Erin Stewart","Florida","2","1319.98","1"
"Brian Davis","Florida","2","1059.97","2"
"Grace Martinez","Florida","4","842.9300000000001","3"
"Victor Reed","Florida","2","649.97","4"
"Yvonne Smith","Florida","1","44.97","5"
"Wanda Green","Georgia","3","8519.96","1"
"Zachary Wilson","Georgia","5","5079.949999999999","2"
"Fred Harris","Georgia","5","1987.92","3"
"Cynthia Wilson","Georgia","3","1699.97","4"
"Henry Walker","Georgia","4","839.9200000000001","5"
"Amelia Green","Hawaii","8","7699.819999999998","1"
"Xavier Davis","Hawaii","5","2978.92","2"
"Derek Taylor","Hawaii","4","1352.94","3"
"Ivy Hall","Hawaii","3","384.95000000000005","4"
"Grace Scott","Hawaii","2","72.97","5"
"Hugo Edwards","Idaho","2","1439.97","1"
"Erin Brown","Idaho","5","1214.91","2"
"Yvonne Reed","Idaho","2","499.98","3"
"Jack Allen","Idaho","2","409.95000000000005","4"
"Zachary Scott","Illinois","5","6071.84","1"
"Cynthia Reed","Illinois","4","5696.88","2"
"Ivy James","Illinois","4","1275.8899999999999","3"
"Karen Young","Illinois","3","289.95","4"
"Fred Martin","Illinois","2","259.95","5"
"Liam King","Indiana","4","10269.939999999999","1"
"Grace King","Indiana","5","2289.91","2"
"Derek Adams","Indiana","3","1988.95","3"
"Jack Parker","Indiana","1","99.99","4"
"Amelia Davis","Indiana","1","59.96","5"
"Erin Reed","Iowa","2","2649.9799999999996","1"
"Mona Scott","Iowa","4","1469.92","2"
"Brian Brown","Iowa","3","1449.95","3"
"Hugo Lewis","Iowa","2","509.95000000000005","4"
"Fred Johnson","Kansas","2","5699.969999999999","1"
"Nathan Wright","Kansas","8","4009.87","2"
"Ivy Morris","Kansas","7","3809.9199999999996","3"
"Cynthia Green","Kansas","4","2859.8500000000004","4"
"Liam Watson","Kansas","3","2589.91","5"
"Grace Brown","Kentucky","4","3395.9500000000003","1"
"Monica Wood","Kentucky","4","2329.9099999999994","2"
"Olivia Adams","Kentucky","5","2289.9","3"
"Jack Reed","Kentucky","2","479.93999999999994","4"
"Derek Scott","Kentucky","1","149.99","5"
"Nathan Clark","Louisiana","4","2129.96","1"
"Erin Davis","Louisiana","6","1665.9","2"
"Hugo King","Louisiana","3","369.94","3"
"Karen King","Louisiana","3","318.93999999999994","4"
"Fred Reed","Maine","5","4619.870000000001","1"
"Quinn Rogers","Maine","4","3479.8999999999996","2"
"Olivia Ward","Maine","3","1659.94","3"
"Liam Hughes","Maine","4","1524.94","4"
"Ivy Scott","Maine","4","1359.91","5"
"Monica King","Maryland","7","4718.82","1"
"Rachel Green","Maryland","6","3129.91","2"
"Jack Green","Maryland","2","1314.98","3"
"Paul Bell","Maryland","4","619.94","4"
"Grace Johnson","Maryland","2","205.95999999999998","5"
"Quinn Cooper","Massachusetts","5","6969.86","1"
"Steve Baker","Massachusetts","6","4875.86","2"
"Hugo Brown","Massachusetts","3","3459.92","3"
"Nathan Hill","Massachusetts","3","1468.93","4"
"Karen Smith","Massachusetts","1","69.99","5"
"Liam Davis","Michigan","9","6149.869999999999","1"
"Ivy Green","Michigan","6","649.86","2"
"Rachel Lewis","Michigan","3","621.94","3"
"Tina Evans","Michigan","3","599.96","4"
"Olivia Lee","Michigan","4","469.9200000000001","5"
"Ulysses Parker","Minnesota","11","11849.81","1"
"Steve Turner","Minnesota","4","5944.929999999999","2"
"Monica Reed","Minnesota","3","2909.95","3"
"Paul Martinez","Minnesota","5","1084.8200000000002","4"
"Jack Davis","Minnesota","2","719.94","5"
"Nathan Green","Mississippi","5","5699.9","1"
"Karen Brown","Mississippi","4","3394.96","2"
"Victoria Turner","Mississippi","5","1361.89","3"
"Quinn Scott","Mississippi","3","1189.92","4"
"Tina Martin","Mississippi","4","508.9200000000001","5"
"William Phillips","Missouri","6","3271.87","1"
"Olivia Johnson","Missouri","5","2699.95","2"
"Rachel Bell","Missouri","6","2069.91","3"
"Ulysses Lewis","Missouri","4","1709.95","4"
"Liam Smith","Missouri","2","296.93999999999994","5"
"Xena Reed","Montana","2","4212.96","1"
"Victoria Murphy","Montana","2","1699.98","2"
"Paul Adams","Montana","2","245.95","3"
"Steve Harris","Montana","1","39.98","4"
"Tina Davis","Nebraska","6","4748.900000000001","1"
"Yara Lee","Nebraska","2","3349.9799999999996","2"
"Nathan Reed","Nebraska","3","2099.9700000000003","3"
"William Reed","Nebraska","4","1647.91","4"
"Quinn Davis","Nebraska","2","99.96","5"
"Rachel Reed","Nevada","7","4045.879999999999","1"
"Xena Parker","Nevada","6","3943.8799999999997","2"
"Olivia Smith","Nevada","3","2818.9099999999994","3"
"Zackary Brooks","Nevada","6","1780.8200000000002","4"
"Ulysses Brown","Nevada","5","531.87","5"
"Victoria Lewis","New Hampshire","9","4824.829999999999","1"
"Paul Brown","New Hampshire","2","3899.9799999999996","2"
"Steve Green","New Hampshire","2","2524.9799999999996","3"
"Abigail Bailey","New Hampshire","5","1119.91","4"
"Yara Scott","New Hampshire","3","354.90999999999997","5"
"Quinn Green","New Jersey","6","8200.88","1"
"William Martin","New Jersey","5","7259.900000000001","2"
"Zackary Adams","New Jersey","2","4249.96","3"
"Benjamin Harris","New Jersey","5","814.9","4"
"Tina Adams","New Jersey","3","474.95000000000005","5"
"Xena Johnson","New Mexico","8","5389.88","1"
"Rachel Smith","New Mexico","6","3298.8399999999997","2"
"Abigail Davis","New Mexico","3","2929.9599999999996","3"
"Chloe Cooper","New Mexico","5","2089.9300000000003","4"
"Ulysses Clark","New Mexico","2","738.96","5"
"Xavier Reed","New York","12","15629.779999999997","1"
"Derek Smith","New York","5","10509.919999999998","2"
"Benjamin Turner","New York","8","10119.88","3"
"Rachel Turner","New York","11","9377.809999999996","4"
"Jake Scott","New York","13","8413.77","5"
"Ella Sanders","North Carolina","4","2539.91","1"
"Tina Johnson","North Carolina","2","1579.98","2"
"Chloe Nelson","North Carolina","2","1339.98","3"
